Code,Provider Description,SNOMED-CT,SNOMED-CT Description,Total,Year,Month
ALL,ALL SUBMITTERS,102556003,Pain in upper limb (finding),347948,2019,April
ALL,ALL SUBMITTERS,10601006,Pain in lower limb (finding),563146,2019,April
ALL,ALL SUBMITTERS,125593007,Injury of face (disorder),179371,2019,April
ALL,ALL SUBMITTERS,125666000,Burn (disorder),113231,2019,April
ALL,ALL SUBMITTERS,127278005,Injury of upper extremity (disorder),1349737,2019,April
ALL,ALL SUBMITTERS,127279002,Injury of lower extremity (disorder),1288452,2019,April
ALL,ALL SUBMITTERS,128069005,Injury of abdomen (disorder),14620,2019,April
ALL,ALL SUBMITTERS,13094009,Apnea in the newborn (finding),2939,2019,April
ALL,ALL SUBMITTERS,13791008,Asthenia (finding),407321,2019,April
ALL,ALL SUBMITTERS,14380007,Foreign body in mouth (disorder),24174,2019,April
ALL,ALL SUBMITTERS,14760008,Constipation (finding),45803,2019,April
ALL,ALL SUBMITTERS,15188001,Hearing loss (disorder),16605,2019,April
ALL,ALL SUBMITTERS,161152002,Social problem (finding),32031,2019,April
ALL,ALL SUBMITTERS,161887000,Spontaneous bruising (disorder),4549,2019,April
ALL,ALL SUBMITTERS,161891005,Backache (finding),264988,2019,April
ALL,ALL SUBMITTERS,162214009,Crying infant (finding),35743,2019,April
ALL,ALL SUBMITTERS,162356005,Earache symptom (finding),163518,2019,April
ALL,ALL SUBMITTERS,162784002,Unilateral leg edema (situation),33511,2019,April
ALL,ALL SUBMITTERS,170720001,Follow-up ophthalmological assessment (regime/therapy),114628,2019,April
ALL,ALL SUBMITTERS,18165001,Jaundice (finding),13589,2019,April
ALL,ALL SUBMITTERS,182888003,Medication requested (situation),51016,2019,April
ALL,ALL SUBMITTERS,193462001,Insomnia (disorder),1275,2019,April
ALL,ALL SUBMITTERS,19491003,Injury of nose (disorder),18227,2019,April
ALL,ALL SUBMITTERS,20502007,Pain in scrotum (finding),47030,2019,April
ALL,ALL SUBMITTERS,21522001,Abdominal pain (finding),1194359,2019,April
ALL,ALL SUBMITTERS,21631000119105,Limb ischemia (disorder),4055,2019,April
ALL,ALL SUBMITTERS,225358003,Wound care (regime/therapy),139639,2019,April
ALL,ALL SUBMITTERS,225565007,Perineal pain (finding),24525,2019,April
ALL,ALL SUBMITTERS,230145002,Difficulty breathing (finding),312709,2019,April
ALL,ALL SUBMITTERS,23168003,Speech dysfunction (finding),33956,2019,April
ALL,ALL SUBMITTERS,246679005,Discharge from eye (finding),25021,2019,April
ALL,ALL SUBMITTERS,247355005,Flank pain (finding),75061,2019,April
ALL,ALL SUBMITTERS,248004009,Physical aggression (finding),13962,2019,April
ALL,ALL SUBMITTERS,248020004,Bizarre behavior (finding),43695,2019,April
ALL,ALL SUBMITTERS,248062006,Self-injurious behavior (finding),77519,2019,April
ALL,ALL SUBMITTERS,249624003,Blood in feces symptom (finding),76385,2019,April
