Code,Provider Description,SNOMED-CT,SNOMED-CT Description,Total,Year,Month
ALL,ALL SUBMITTERS,102556003,Pain in upper limb (finding),47845,2017,April
ALL,ALL SUBMITTERS,10601006,Pain in lower limb (finding),83298,2017,April
ALL,ALL SUBMITTERS,12441001,Epistaxis (disorder),17882,2017,April
ALL,ALL SUBMITTERS,125593007,Injury of face (disorder),39499,2017,April
ALL,ALL SUBMITTERS,125666000,Burn (disorder),21055,2017,April
ALL,ALL SUBMITTERS,127278005,Injury of upper extremity (disorder),296180,2017,April
ALL,ALL SUBMITTERS,127279002,Injury of lower extremity (disorder),259220,2017,April
ALL,ALL SUBMITTERS,128069005,Injury of abdomen (disorder),3593,2017,April
ALL,ALL SUBMITTERS,13094009,Apnea in the newborn (finding),977,2017,April
ALL,ALL SUBMITTERS,13791008,Asthenia (finding),80270,2017,April
ALL,ALL SUBMITTERS,14380007,Foreign body in mouth (disorder),4825,2017,April
ALL,ALL SUBMITTERS,14760008,Constipation (finding),9455,2017,April
ALL,ALL SUBMITTERS,15188001,Hearing loss (disorder),1428,2017,April
ALL,ALL SUBMITTERS,161152002,Social problem (finding),9204,2017,April
ALL,ALL SUBMITTERS,161887000,Spontaneous bruising (disorder),990,2017,April
ALL,ALL SUBMITTERS,161891005,Backache (finding),44554,2017,April
ALL,ALL SUBMITTERS,162214009,Crying infant (finding),9694,2017,April
ALL,ALL SUBMITTERS,162356005,Earache symptom (finding),23212,2017,April
ALL,ALL SUBMITTERS,162784002,Unilateral leg edema (situation),8407,2017,April
ALL,ALL SUBMITTERS,170720001,Follow-up ophthalmological assessment (regime/therapy),22029,2017,April
ALL,ALL SUBMITTERS,18165001,Jaundice (finding),2789,2017,April
ALL,ALL SUBMITTERS,182888003,Medication requested (situation),6631,2017,April
ALL,ALL SUBMITTERS,193462001,Insomnia (disorder),213,2017,April
ALL,ALL SUBMITTERS,19491003,Injury of nose (disorder),4561,2017,April
ALL,ALL SUBMITTERS,20502007,Pain in scrotum (finding),9293,2017,April
ALL,ALL SUBMITTERS,21522001,Abdominal pain (finding),248627,2017,April
ALL,ALL SUBMITTERS,21631000119105,Limb ischemia (disorder),1378,2017,April
ALL,ALL SUBMITTERS,225358003,Wound care (regime/therapy),9781,2017,April
ALL,ALL SUBMITTERS,225565007,Perineal pain (finding),5429,2017,April
ALL,ALL SUBMITTERS,230145002,Difficulty breathing (finding),88225,2017,April
ALL,ALL SUBMITTERS,23168003,Speech dysfunction (finding),8300,2017,April
ALL,ALL SUBMITTERS,246679005,Discharge from eye (finding),5939,2017,April
ALL,ALL SUBMITTERS,247355005,Flank pain (finding),13768,2017,April
ALL,ALL SUBMITTERS,248004009,Physical aggression (finding),2960,2017,April
ALL,ALL SUBMITTERS,248020004,Bizarre behavior (finding),9508,2017,April
ALL,ALL SUBMITTERS,248062006,Self-injurious behavior (finding),21520,2017,April
ALL,ALL SUBMITTERS,249624003,Blood in feces symptom (finding),16181,2017,April
ALL,ALL SUBMITTERS,25064002,Headache (finding),61675,2017,April
ALL,ALL SUBMITTERS,25658005,Disorder of vagina (disorder),3910,2017,April
ALL,ALL SUBMITTERS,26079004,Tremor (finding),1341,2017,April
ALL,ALL SUBMITTERS,262525000,Chest injury (disorder),18332,2017,April
ALL,ALL SUBMITTERS,262595009,Traumatic amputation (disorder),280,2017,April
ALL,ALL SUBMITTERS,262599003,Foreign body in respiratory tract (disorder),2658,2017,April
ALL,ALL SUBMITTERS,267036007,Dyspnea (finding),218379,2017,April
ALL,ALL SUBMITTERS,267064002,Retention of urine (disorder),18431,2017,April
ALL,ALL SUBMITTERS,267102003,Sore throat symptom (finding),33767,2017,April
ALL,ALL SUBMITTERS,271594007,Syncope (disorder),17014,2017,April
ALL,ALL SUBMITTERS,271771009,Joint swelling (finding),7032,2017,April
ALL,ALL SUBMITTERS,271807003,Eruption of skin (disorder),52290,2017,April
ALL,ALL SUBMITTERS,275319005,Swollen legs (finding),3972,2017,April
ALL,ALL SUBMITTERS,276464002,Injury of anus (disorder),368,2017,April
ALL,ALL SUBMITTERS,281398003,Groin mass (finding),2873,2017,April
ALL,ALL SUBMITTERS,282752000,Injury of eye region (disorder),13933,2017,April
ALL,ALL SUBMITTERS,282765009,Upper back injury (disorder),6857,2017,April
ALL,ALL SUBMITTERS,282766005,Lower back injury (disorder),27506,2017,April
ALL,ALL SUBMITTERS,283682007,Bite - wound (disorder),11913,2017,April
ALL,ALL SUBMITTERS,28442001,Polyuria (finding),8863,2017,April
ALL,ALL SUBMITTERS,289530006,Bleeding from vagina (finding),17594,2017,April
ALL,ALL SUBMITTERS,289610003,Vaginal problem (finding),355,2017,April
ALL,ALL SUBMITTERS,290085007,Breast problem (finding),151,2017,April
ALL,ALL SUBMITTERS,297982009,Skin problem (finding),4095,2017,April
ALL,ALL SUBMITTERS,29857009,Chest pain (finding),237232,2017,April
ALL,ALL SUBMITTERS,2999009,Injury of ear (disorder),1747,2017,April
ALL,ALL SUBMITTERS,299972003,Sting of skin (disorder),519,2017,April
ALL,ALL SUBMITTERS,300132001,Ear discharge (finding),3198,2017,April
ALL,ALL SUBMITTERS,300528000,Penis problem (finding),493,2017,April
ALL,ALL SUBMITTERS,3006004,Disturbance of consciousness (finding),14938,2017,April
ALL,ALL SUBMITTERS,302866003,Hypoglycemia (disorder),4108,2017,April
ALL,ALL SUBMITTERS,312608009,Laceration - injury (disorder),59689,2017,April
ALL,ALL SUBMITTERS,312609001,Puncture wound - injury (disorder),7424,2017,April
ALL,ALL SUBMITTERS,33334006,Foreign body in digestive tract (disorder),4513,2017,April
ALL,ALL SUBMITTERS,33958003,Disorder of penis (disorder),3341,2017,April
ALL,ALL SUBMITTERS,34124000,Foreign body in vagina (disorder),998,2017,April
ALL,ALL SUBMITTERS,3415004,Cyanosis (finding),530,2017,April
ALL,ALL SUBMITTERS,34436003,Blood in urine (finding),13278,2017,April
ALL,ALL SUBMITTERS,35489007,Depressive disorder (disorder),7507,2017,April
ALL,ALL SUBMITTERS,370977006,Frostbite (disorder),36,2017,April
ALL,ALL SUBMITTERS,371704001,Injury due to chemical exposure (disorder),1059,2017,April
ALL,ALL SUBMITTERS,371708003,Injury caused by electrical exposure (disorder),676,2017,April
ALL,ALL SUBMITTERS,385486001,Postoperative complication (disorder),4717,2017,April
ALL,ALL SUBMITTERS,386661006,Fever (finding),127253,2017,April
ALL,ALL SUBMITTERS,386689009,Hypothermia (finding),2025,2017,April
ALL,ALL SUBMITTERS,394616008,Unsteady gait (finding),56758,2017,April
ALL,ALL SUBMITTERS,398979000,Pale complexion (finding),3820,2017,April
ALL,ALL SUBMITTERS,399963005,Abrasion (disorder),7345,2017,April
ALL,ALL SUBMITTERS,404640003,Dizziness (finding),26879,2017,April
ALL,ALL SUBMITTERS,40917007,Clouded consciousness (finding),25364,2017,April
ALL,ALL SUBMITTERS,409668002,Photophobia (finding),1267,2017,April
ALL,ALL SUBMITTERS,410429000,Cardiac arrest (disorder),3698,2017,April
ALL,ALL SUBMITTERS,41652007,Pain in eye (finding),41470,2017,April
ALL,ALL SUBMITTERS,417746004,Traumatic injury (disorder),6024,2017,April
ALL,ALL SUBMITTERS,417981005,Exposure to blood and/or body fluid (event),2374,2017,April
ALL,ALL SUBMITTERS,418363000,Itching of skin (finding),3759,2017,April
ALL,ALL SUBMITTERS,41931001,Abdominal distension (finding),3235,2017,April
ALL,ALL SUBMITTERS,422400008,Vomiting (disorder),60029,2017,April
ALL,ALL SUBMITTERS,422587007,Nausea (finding),2876,2017,April
ALL,ALL SUBMITTERS,422970001,Cardiac arrest due to trauma (disorder),223,2017,April
ALL,ALL SUBMITTERS,427461000,Near syncope (disorder),41940,2017,April
ALL,ALL SUBMITTERS,428566005,Gestation less than 20 weeks (finding),34950,2017,April
ALL,ALL SUBMITTERS,429715006,Gestation greater than 20 weeks (finding),2493,2017,April
ALL,ALL SUBMITTERS,44077006,Numbness (finding),8512,2017,April
ALL,ALL SUBMITTERS,450724008,Injury of cervical region of back (disorder),1253,2017,April
ALL,ALL SUBMITTERS,47609003,Foreign body in esophagus (disorder),2082,2017,April
ALL,ALL SUBMITTERS,48694002,Anxiety (finding),6777,2017,April
ALL,ALL SUBMITTERS,49650001,Dysuria (finding),19237,2017,April
ALL,ALL SUBMITTERS,49727002,Cough (finding),19075,2017,April
ALL,ALL SUBMITTERS,55899000,Foreign body on external eye (disorder),21480,2017,April
ALL,ALL SUBMITTERS,56890008,Victim of sexual aggression (finding),200,2017,April
