Code,Provider Description,SNOMED-CT,SNOMED-CT Description,Total,Year,Month
ALL,ALL SUBMITTERS,102556003,Pain in upper limb (finding),247505,2020,April
ALL,ALL SUBMITTERS,10601006,Pain in lower limb (finding),415106,2020,April
ALL,ALL SUBMITTERS,125593007,Injury of face (disorder),125491,2020,April
ALL,ALL SUBMITTERS,125666000,Burn (disorder),100194,2020,April
ALL,ALL SUBMITTERS,127278005,Injury of upper extremity (disorder),994417,2020,April
ALL,ALL SUBMITTERS,127279002,Injury of lower extremity (disorder),940796,2020,April
ALL,ALL SUBMITTERS,128069005,Injury of abdomen (disorder),10549,2020,April
ALL,ALL SUBMITTERS,13094009,Apnea in the newborn (finding),2716,2020,April
ALL,ALL SUBMITTERS,13791008,Asthenia (finding),320350,2020,April
ALL,ALL SUBMITTERS,14380007,Foreign body in mouth (disorder),20583,2020,April
ALL,ALL SUBMITTERS,14760008,Constipation (finding),41037,2020,April
ALL,ALL SUBMITTERS,15188001,Hearing loss (disorder),8866,2020,April
ALL,ALL SUBMITTERS,161152002,Social problem (finding),23748,2020,April
ALL,ALL SUBMITTERS,161887000,Spontaneous bruising (disorder),5124,2020,April
ALL,ALL SUBMITTERS,161891005,Backache (finding),212076,2020,April
ALL,ALL SUBMITTERS,162214009,Crying infant (finding),26453,2020,April
ALL,ALL SUBMITTERS,162356005,Earache symptom (finding),93346,2020,April
ALL,ALL SUBMITTERS,162784002,Unilateral leg edema (situation),32741,2020,April
ALL,ALL SUBMITTERS,170720001,Follow-up ophthalmological assessment (regime/therapy),73252,2020,April
ALL,ALL SUBMITTERS,18165001,Jaundice (finding),12527,2020,April
ALL,ALL SUBMITTERS,182888003,Medication requested (situation),24224,2020,April
ALL,ALL SUBMITTERS,193462001,Insomnia (disorder),1013,2020,April
ALL,ALL SUBMITTERS,19491003,Injury of nose (disorder),10677,2020,April
ALL,ALL SUBMITTERS,20502007,Pain in scrotum (finding),45906,2020,April
ALL,ALL SUBMITTERS,21522001,Abdominal pain (finding),1017601,2020,April
ALL,ALL SUBMITTERS,21631000119105,Limb ischemia (disorder),3893,2020,April
ALL,ALL SUBMITTERS,225358003,Wound care (regime/therapy),98954,2020,April
ALL,ALL SUBMITTERS,225565007,Perineal pain (finding),20929,2020,April
ALL,ALL SUBMITTERS,230145002,Difficulty breathing (finding),183565,2020,April
ALL,ALL SUBMITTERS,23168003,Speech dysfunction (finding),32954,2020,April
ALL,ALL SUBMITTERS,246679005,Discharge from eye (finding),10541,2020,April
ALL,ALL SUBMITTERS,247355005,Flank pain (finding),67651,2020,April
ALL,ALL SUBMITTERS,248004009,Physical aggression (finding),13171,2020,April
ALL,ALL SUBMITTERS,248020004,Bizarre behavior (finding),39950,2020,April
ALL,ALL SUBMITTERS,248062006,Self-injurious behavior (finding),70254,2020,April
ALL,ALL SUBMITTERS,249624003,Blood in feces symptom (finding),68957,2020,April
ALL,ALL SUBMITTERS,25064002,Headache (finding),245916,2020,April
ALL,ALL SUBMITTERS,26079004,Tremor (finding),5828,2020,April
ALL,ALL SUBMITTERS,262525000,Chest injury (disorder),62285,2020,April
ALL,ALL SUBMITTERS,262595009,Traumatic amputation (disorder),676,2020,April
ALL,ALL SUBMITTERS,262599003,Foreign body in respiratory tract (disorder),6843,2020,April
ALL,ALL SUBMITTERS,267036007,Dyspnea (finding),687510,2020,April
ALL,ALL SUBMITTERS,267064002,Retention of urine (disorder),73201,2020,April
