Code,Provider Description,SNOMED-CT,SNOMED-CT Description,Total,Year,Month
ALL,ALL SUBMITTERS,102556003,Pain in upper limb (finding),222609,2018,April
ALL,ALL SUBMITTERS,10601006,Pain in lower limb (finding),372178,2018,April
ALL,ALL SUBMITTERS,12441001,Epistaxis (disorder),49789,2018,April
ALL,ALL SUBMITTERS,125593007,Injury of face (disorder),144318,2018,April
ALL,ALL SUBMITTERS,125666000,Burn (disorder),84642,2018,April
ALL,ALL SUBMITTERS,127278005,Injury of upper extremity (disorder),1111081,2018,April
ALL,ALL SUBMITTERS,127279002,Injury of lower extremity (disorder),1040073,2018,April
ALL,ALL SUBMITTERS,128069005,Injury of abdomen (disorder),12767,2018,April
ALL,ALL SUBMITTERS,13094009,Apnea in the newborn (finding),2650,2018,April
ALL,ALL SUBMITTERS,13791008,Asthenia (finding),303751,2018,April
ALL,ALL SUBMITTERS,14380007,Foreign body in mouth (disorder),19354,2018,April
ALL,ALL SUBMITTERS,14760008,Constipation (finding),34201,2018,April
ALL,ALL SUBMITTERS,15188001,Hearing loss (disorder),6994,2018,April
ALL,ALL SUBMITTERS,161152002,Social problem (finding),23639,2018,April
ALL,ALL SUBMITTERS,161887000,Spontaneous bruising (disorder),3591,2018,April
ALL,ALL SUBMITTERS,161891005,Backache (finding),179062,2018,April
ALL,ALL SUBMITTERS,162214009,Crying infant (finding),29694,2018,April
ALL,ALL SUBMITTERS,162356005,Earache symptom (finding),90855,2018,April
ALL,ALL SUBMITTERS,162784002,Unilateral leg edema (situation),27525,2018,April
ALL,ALL SUBMITTERS,170720001,Follow-up ophthalmological assessment (regime/therapy),75362,2018,April
ALL,ALL SUBMITTERS,18165001,Jaundice (finding),10810,2018,April
ALL,ALL SUBMITTERS,182888003,Medication requested (situation),25539,2018,April
ALL,ALL SUBMITTERS,193462001,Insomnia (disorder),929,2018,April
ALL,ALL SUBMITTERS,19491003,Injury of nose (disorder),15133,2018,April
ALL,ALL SUBMITTERS,20502007,Pain in scrotum (finding),34687,2018,April
ALL,ALL SUBMITTERS,21522001,Abdominal pain (finding),900579,2018,April
ALL,ALL SUBMITTERS,21631000119105,Limb ischemia (disorder),3657,2018,April
ALL,ALL SUBMITTERS,225358003,Wound care (regime/therapy),62223,2018,April
ALL,ALL SUBMITTERS,225565007,Perineal pain (finding),19346,2018,April
ALL,ALL SUBMITTERS,230145002,Difficulty breathing (finding),243213,2018,April
ALL,ALL SUBMITTERS,23168003,Speech dysfunction (finding),26997,2018,April
ALL,ALL SUBMITTERS,246679005,Discharge from eye (finding),18436,2018,April
ALL,ALL SUBMITTERS,247355005,Flank pain (finding),53668,2018,April
ALL,ALL SUBMITTERS,248004009,Physical aggression (finding),10470,2018,April
ALL,ALL SUBMITTERS,248020004,Bizarre behavior (finding),33545,2018,April
ALL,ALL SUBMITTERS,248062006,Self-injurious behavior (finding),68423,2018,April
ALL,ALL SUBMITTERS,249624003,Blood in feces symptom (finding),58479,2018,April
ALL,ALL SUBMITTERS,25064002,Headache (finding),218092,2018,April
ALL,ALL SUBMITTERS,25658005,Disorder of vagina (disorder),12478,2018,April
ALL,ALL SUBMITTERS,26079004,Tremor (finding),5121,2018,April
ALL,ALL SUBMITTERS,262525000,Chest injury (disorder),73129,2018,April
ALL,ALL SUBMITTERS,262595009,Traumatic amputation (disorder),772,2018,April
ALL,ALL SUBMITTERS,262599003,Foreign body in respiratory tract (disorder),7168,2018,April
ALL,ALL SUBMITTERS,267036007,Dyspnea (finding),630461,2018,April
ALL,ALL SUBMITTERS,267064002,Retention of urine (disorder),68938,2018,April
ALL,ALL SUBMITTERS,267102003,Sore throat symptom (finding),118569,2018,April
ALL,ALL SUBMITTERS,271594007,Syncope (disorder),56244,2018,April
ALL,ALL SUBMITTERS,271771009,Joint swelling (finding),25272,2018,April
ALL,ALL SUBMITTERS,271807003,Eruption of skin (disorder),185823,2018,April
ALL,ALL SUBMITTERS,272022009,Complaining of feeling depressed (finding),49865,2018,April
ALL,ALL SUBMITTERS,275319005,Swollen legs (finding),12011,2018,April
ALL,ALL SUBMITTERS,276464002,Injury of anus (disorder),1095,2018,April
ALL,ALL SUBMITTERS,281398003,Groin mass (finding),9446,2018,April
ALL,ALL SUBMITTERS,282752000,Injury of eye region (disorder),46870,2018,April
ALL,ALL SUBMITTERS,282765009,Upper back injury (disorder),22881,2018,April
ALL,ALL SUBMITTERS,282766005,Lower back injury (disorder),94122,2018,April
ALL,ALL SUBMITTERS,283682007,Bite - wound (disorder),82216,2018,April
ALL,ALL SUBMITTERS,28442001,Polyuria (finding),31977,2018,April
ALL,ALL SUBMITTERS,289530006,Bleeding from vagina (finding),63080,2018,April
ALL,ALL SUBMITTERS,289610003,Vaginal problem (finding),2393,2018,April
ALL,ALL SUBMITTERS,290085007,Breast problem (finding),621,2018,April
ALL,ALL SUBMITTERS,297982009,Skin problem (finding),39870,2018,April
ALL,ALL SUBMITTERS,29857009,Chest pain (finding),796957,2018,April
ALL,ALL SUBMITTERS,2999009,Injury of ear (disorder),6294,2018,April
ALL,ALL SUBMITTERS,299972003,Sting of skin (disorder),10808,2018,April
ALL,ALL SUBMITTERS,300132001,Ear discharge (finding),11279,2018,April
ALL,ALL SUBMITTERS,300528000,Penis problem (finding),2907,2018,April
ALL,ALL SUBMITTERS,3006004,Disturbance of consciousness (finding),50664,2018,April
ALL,ALL SUBMITTERS,302866003,Hypoglycemia (disorder),14076,2018,April
ALL,ALL SUBMITTERS,312608009,Laceration - injury (disorder),269685,2018,April
ALL,ALL SUBMITTERS,312609001,Puncture wound - injury (disorder),33849,2018,April
ALL,ALL SUBMITTERS,33334006,Foreign body in digestive tract (disorder),15859,2018,April
ALL,ALL SUBMITTERS,33958003,Disorder of penis (disorder),11056,2018,April
ALL,ALL SUBMITTERS,34124000,Foreign body in vagina (disorder),3615,2018,April
ALL,ALL SUBMITTERS,3415004,Cyanosis (finding),1660,2018,April
ALL,ALL SUBMITTERS,34436003,Blood in urine (finding),50182,2018,April
ALL,ALL SUBMITTERS,35489007,Depressive disorder (disorder),26117,2018,April
ALL,ALL SUBMITTERS,370977006,Frostbite (disorder),109,2018,April
ALL,ALL SUBMITTERS,371704001,Injury due to chemical exposure (disorder),3655,2018,April
ALL,ALL SUBMITTERS,371708003,Injury caused by electrical exposure (disorder),3994,2018,April
ALL,ALL SUBMITTERS,385486001,Postoperative complication (disorder),19723,2018,April
ALL,ALL SUBMITTERS,386661006,Fever (finding),390315,2018,April
ALL,ALL SUBMITTERS,386689009,Hypothermia (finding),3165,2018,April
ALL,ALL SUBMITTERS,394616008,Unsteady gait (finding),186158,2018,April
ALL,ALL SUBMITTERS,398979000,Pale complexion (finding),15473,2018,April
ALL,ALL SUBMITTERS,399963005,Abrasion (disorder),31928,2018,April
ALL,ALL SUBMITTERS,404640003,Dizziness (finding),109512,2018,April
ALL,ALL SUBMITTERS,40739000,Dysphagia (disorder),142,2018,April
ALL,ALL SUBMITTERS,40917007,Clouded consciousness (finding),80742,2018,April
ALL,ALL SUBMITTERS,409668002,Photophobia (finding),3722,2018,April
ALL,ALL SUBMITTERS,410429000,Cardiac arrest (disorder),9980,2018,April
ALL,ALL SUBMITTERS,41652007,Pain in eye (finding),146143,2018,April
ALL,ALL SUBMITTERS,417746004,Traumatic injury (disorder),19879,2018,April
ALL,ALL SUBMITTERS,417981005,Exposure to blood and/or body fluid (event),7815,2018,April
ALL,ALL SUBMITTERS,418363000,Itching of skin (finding),15676,2018,April
ALL,ALL SUBMITTERS,41931001,Abdominal distension (finding),12191,2018,April
