Code,Provider Description,SNOMED-CT,SNOMED-CT Description,Total,Year,Month
ALL,ALL SUBMITTERS,102556003,Pain in upper limb (finding),374010,2021,April
ALL,ALL SUBMITTERS,10601006,Pain in lower limb (finding),642303,2021,April
ALL,ALL SUBMITTERS,125593007,Injury of face (disorder),181584,2021,April
ALL,ALL SUBMITTERS,125666000,Burn (disorder),116077,2021,April
ALL,ALL SUBMITTERS,127278005,Injury of upper extremity (disorder),1400506,2021,April
ALL,ALL SUBMITTERS,127279002,Injury of lower extremity (disorder),1393977,2021,April
ALL,ALL SUBMITTERS,128069005,Injury of abdomen (disorder),13974,2021,April
ALL,ALL SUBMITTERS,13094009,Apnea in the newborn (finding),3083,2021,April
ALL,ALL SUBMITTERS,13791008,Asthenia (finding),474872,2021,April
ALL,ALL SUBMITTERS,14380007,Foreign body in mouth (disorder),24139,2021,April
ALL,ALL SUBMITTERS,14760008,Constipation (finding),56117,2021,April
ALL,ALL SUBMITTERS,15188001,Hearing loss (disorder),13673,2021,April
ALL,ALL SUBMITTERS,161152002,Social problem (finding),24258,2021,April
ALL,ALL SUBMITTERS,161887000,Spontaneous bruising (disorder),10451,2021,April
ALL,ALL SUBMITTERS,161891005,Backache (finding),318397,2021,April
ALL,ALL SUBMITTERS,162214009,Crying infant (finding),39912,2021,April
ALL,ALL SUBMITTERS,162356005,Earache symptom (finding),192473,2021,April
ALL,ALL SUBMITTERS,162784002,Unilateral leg edema (situation),49297,2021,April
ALL,ALL SUBMITTERS,170720001,Follow-up ophthalmological assessment (regime/therapy),105097,2021,April
ALL,ALL SUBMITTERS,18165001,Jaundice (finding),15481,2021,April
ALL,ALL SUBMITTERS,182888003,Medication requested (situation),32497,2021,April
ALL,ALL SUBMITTERS,193462001,Insomnia (disorder),1267,2021,April
ALL,ALL SUBMITTERS,19491003,Injury of nose (disorder),17860,2021,April
ALL,ALL SUBMITTERS,20502007,Pain in scrotum (finding),61089,2021,April
ALL,ALL SUBMITTERS,21522001,Abdominal pain (finding),1367341,2021,April
ALL,ALL SUBMITTERS,21631000119105,Limb ischemia (disorder),4339,2021,April
